Period,N,Mean,SD,Kurtosis,L_Kurtosis,Prop_Zeros,Prop_Neg1,t_mu,t_sigma,t_nu,t_note
Pre-Charter (<=2007),585,-0.06884004884004884,0.37575221145660437,36.777447425337485,0.666598385431831,0.8854700854700854,0.08376068376068375,NA,NA,NA,
Post-Charter (>=2008),187,-0.05320855614973262,1.0020506673329965,84.73455462842978,0.5758151308927407,0.7647058823529411,0.13903743315508021,NA,NA,NA,
Pre-Charter restricted,77,-0.5230055658627087,0.9188444178459101,12.649413523617353,0.30018496028608843,0.12987012987012986,0.6363636363636364,-1.0000000000785105,1.0000000048973613e-6,1.0100000005046148,"converged; jittered: sigma=0.0009, nu=1.01"
Post-Charter restricted,53,-0.1877358490566038,1.8883503375323412,27.3111720381742,0.44532236000176395,0.16981132075471697,0.49056603773584906,-0.9773210059465002,0.11710232238798302,1.0100000208050757,converged
