Category,Area_Code,Area_Name,Total_Count,Share_Pct,Active_Years,Prop_Active,Longest_Gap,Within_Variance,Within_Kurtosis,Lag1_ACF
Core,15,Intra-ASEAN Trade,107,43.85245901639344,34,0.6296296296296297,10,5.565688329839273,6.587596267147362,0.4339871606178344
Core,20,ASEAN Governance,39,15.983606557377051,29,0.5370370370370371,6,0.8081761006289309,15.941796997856594,0.11103905461882124
Core,10,Transportation,35,14.344262295081966,16,0.2962962962962963,18,3.0625436757512228,43.224073741518865,0.2642686611311826
Core,NA,SUBTOTAL,181,74.18032786885246,NA,NA,NA,NA,NA,0.2697649587892794
Peripheral,4,Agriculture,11,4.508196721311475,10,0.18518518518518517,12,0.20300489168413696,3.31392069022731,-0.11917511315101684
Peripheral,3,Health,8,3.278688524590164,6,0.1111111111111111,33,0.24178895877009085,6.462182803646219,-0.09419824448726194
Peripheral,8,Energy,8,3.278688524590164,7,0.12962962962962962,19,0.1663172606568833,6.462182803646219,-0.023498288204170614
Peripheral,1,Macroeconomics,7,2.8688524590163933,7,0.12962962962962962,30,0.11495457721872816,5.099993030225587,-0.15169424743892815
Peripheral,12,Law & Crime,6,2.459016393442623,5,0.09259259259259259,37,0.13836477987421383,8.383377148634985,-0.09259259259259255
Peripheral,19,International Affairs,6,2.459016393442623,2,0.037037037037037035,30,0.4779874213836478,25.834235735110372,-0.026803118908382034
Peripheral,17,Technology,4,1.639344262295082,4,0.07407407407407407,33,0.06988120195667366,25.834235735110372,0.4585185185185189
Peripheral,7,Environment,3,1.2295081967213115,3,0.05555555555555555,18,0.05345911949685535,16.12433982194054,-0.05991285403050108
Peripheral,16,Defense,3,1.2295081967213115,3,0.05555555555555555,25,0.05345911949685535,16.12433982194054,-0.059912854030500985
Peripheral,6,Education,2,0.819672131147541,1,0.018518518518518517,28,0.07407407407407407,55,-0.01921733053808528
Peripheral,9,Immigration,2,0.819672131147541,2,0.037037037037037035,39,0.0363382250174703,25.834235735110372,-0.039173789173789206
Peripheral,23,Culture,2,0.819672131147541,2,0.037037037037037035,42,0.0363382250174703,25.834235735110372,-0.03917378917378922
Peripheral,21,Public Lands,1,0.4098360655737705,1,0.018518518518518517,38,0.018518518518518517,55,-0.01921733053808527
Peripheral,NA,SUBTOTAL,63,25.81967213114754,NA,NA,NA,NA,NA,-0.022003925672968022
