Period,N,Mean,SD,Kurtosis,L_Kurtosis,Prop_Zeros,Prop_Neg1,t_mu,t_sigma,t_nu,t_note
Pre-Charter (<=2008),601,-0.07748989778939862,0.3818993561308489,34.041094746749906,0.6340532690861326,0.8768718801996672,0.08985024958402663,NA,NA,NA,
Post-Charter (>=2009),171,-0.02134502923976608,1.032772243552248,81.39270893195072,0.6381714041973386,0.783625730994152,0.12280701754385964,NA,NA,NA,
Pre-Charter restricted,84,-0.5544217687074829,0.88696634977799,13.71116326076983,0.3206616740106659,0.11904761904761904,0.6428571428571429,-0.9999999999049992,1.0000000060220891e-6,1.010000005878148,"converged; jittered: sigma=0.0010, nu=1.01"
Post-Charter restricted,46,-0.07934782608695652,2.0061762190813437,24.15563567053498,0.4291547352580779,0.1956521739130435,0.45652173913043476,-0.899849491442773,0.25119900180439625,1.0100000181118252,converged
