Component,Variance,Weight,Proportion_of_Total,N
Total,1.9621601989434216,NA,1,130
Within-Core,2.940799559969807,0.5923076923076923,0.8877247646971661,77
Within-Peripheral,0.07111756168359942,0.4076923076923077,0.014776613477252946,53
Weighted Within-Group,1.7708522837454301,NA,0.902501378174419,130
Between-Group,0.1913079151979915,NA,0.09749862182558103,130
