year_type_1yr,n_years,mean_total,sd_total,mean_active,sd_active,mean_hhi,sd_hhi,mean_core_prop,sd_core_prop,mean_periph_prop,sd_periph_prop,mean_entropy,sd_entropy
crisis,4,9,7.788880963698615,3.75,2.0615528128088303,0.45957520637007815,0.10367222917188036,0.795940170940171,0.2585470085470085,0.20405982905982906,0.2585470085470085,0.9533331285535158,0.34108507998769994
milestone,4,7,4.96655480858378,3.75,2.753785273643051,0.5319713821316385,0.3592637113080771,0.8675213675213675,0.15690222009133178,0.13247863247863248,0.15690222009133178,0.930513727049685,0.7940207999330812
normal,38,4.7368421052631575,4.322688168422801,2.6842105263157894,1.5440428358064167,0.5703990187491554,0.28107625982169315,0.7221918432444748,0.2978187965224228,0.27780815675552517,0.2978187965224228,0.7411234501885346,0.5320280694804168
