year_type,n_years,mean_total,sd_total,mean_active,sd_active,mean_hhi,sd_hhi,mean_core_prop,sd_core_prop,mean_periph_prop,sd_periph_prop,mean_entropy,sd_entropy
crisis,6,12.833333333333334,7.4139508136125825,4.666666666666667,1.8618986725025255,0.39744082475483017,0.09599859641375333,0.7919904169904171,0.2015198519879732,0.208009583009583,0.2015198519879732,1.1529042791031543,0.2918805276490863
milestone,7,4.714285714285714,4.535573676110727,2.857142857142857,2.2677868380553634,0.5896979326466506,0.3122445318556723,0.9242979242979243,0.1316191743903479,0.0757020757020757,0.1316191743903479,0.729764181331233,0.6567401797830432
normal,33,4.0606060606060606,2.7034629868396793,2.5454545454545454,1.371379531049599,0.5796611693763406,0.28403611780042115,0.6931850977305523,0.3068218089660739,0.30681490226944774,0.3068218089660739,0.7173425328981686,0.529925114565455
overall,46,5.304347826086956,4.774327481284744,2.869565217391304,1.7076129622913698,0.5574206318798864,0.2744644979431134,0.7412420912420913,0.2846320001883661,0.25875790875790877,0.2846320001883661,0.7760451854255895,0.5370893880707943
