Group,N,Mean,SD,Raw_Kurtosis,Excess_Kurtosis,L_Kurtosis,Shapiro_Wilk_W,Shapiro_Wilk_p,t_mu,t_sigma,t_sigma_sq,t_nu,t_theo_var,t_sigma_ci_lo,t_sigma_ci_hi,t_nu_ci_lo,t_nu_ci_hi,t_loglik,t_method,t_note,t_interpretation
Aggregate,772,-0.06505366395262768,0.5909532559306241,170.26095450465954,167.26095450465954,0.646317736238905,0.2990387300004198,5.571996261225695e-47,6.470997349498902e-10,1.0000000395907187e-6,1.0000000791814388e-12,1.0100000329311358,Inf,4.041391136455403e-28,1.9688219842404428e-13,0.9993035608170286,1.8838973047303424,6712.795457854785,fitdist,converged,infinite variance (extreme punctuation)
Core,132,-0.009253246753246753,1.3062060892751532,42.49046740139903,39.49046740139903,0.4198955361506367,0.5032736257119585,3.0611538376175087e-19,3.899980916292561e-11,1.0000000257257282e-6,1.0000000514514572e-12,1.0163587462081694,Inf,4.8399758523103166e-68,0.5150954262042137,0.2975301716913873,3.917830978532037,-42.38991302578571,fitdist,converged,infinite variance (extreme punctuation)
Peripheral,640,-0.0765625,0.2661039764661171,11.217554550295743,8.217554550295743,0.6515799471464497,0.29231768978810313,7.149578640132155e-44,2.1238142393524462e-10,1.0000000153660598e-6,1.00000003073212e-12,1.0100000085627334,Inf,NA,NA,NA,NA,6750.32586810271,fitdist,converged; bootstrap unreliable,infinite variance (extreme punctuation)
