Group,N,t_mu,t_sigma,t_sigma_sq,t_nu,t_theo_var,L_Kurtosis,t_sigma_ci_lo,t_sigma_ci_hi,t_nu_ci_lo,t_nu_ci_hi,t_note,t_interpretation,t_theo_var_str
Aggregate,772,6.470997349498902e-10,1.0000000395907187e-6,1.0000000791814388e-12,1.0100000329311358,Inf,0.646317736238905,4.041391136455403e-28,1.9688219842404428e-13,0.9993035608170286,1.8838973047303424,converged,infinite variance (extreme punctuation),Inf
Core,132,3.899980916292561e-11,1.0000000257257282e-6,1.0000000514514572e-12,1.0163587462081694,Inf,0.4198955361506367,4.8399758523103166e-68,0.5150954262042137,0.2975301716913873,3.917830978532037,converged,infinite variance (extreme punctuation),Inf
Peripheral,640,2.1238142393524462e-10,1.0000000153660598e-6,1.00000003073212e-12,1.0100000085627334,Inf,0.6515799471464497,NA,NA,NA,NA,converged; bootstrap unreliable,infinite variance (extreme punctuation),Inf
Crisis years,95,-2.8341716972607958e-11,1.0000001543598292e-6,1.0000003087196822e-12,1.010000002945801,Inf,0.6597256366283887,1.3511203124774845e-100,3.6875837672973266e-13,0.6191112836790031,1.7564357081386586,converged,infinite variance (extreme punctuation),Inf
Milestone years,116,-6.388257620567986e-11,1.0000000092200326e-6,1.0000000184400651e-12,1.0100000069493946,Inf,0.3960006399879612,2.1287317966628e-74,5.843176002703613e-18,0.6175946522833023,2.4249048347532027,converged,infinite variance (extreme punctuation),Inf
Normal years,465,5.70808335326801e-11,1.000000020579923e-6,1.0000000411598465e-12,1.0100000078947193,Inf,0.607569279417018,2.2224044011519584e-33,8.213594970868014e-18,0.8935557525080573,2.5019061423869466,converged,infinite variance (extreme punctuation),Inf
