Threshold,N_Core_Areas,Core_Instrument_Share,Core_N,Periph_N,Core_Kurtosis,Periph_Kurtosis,Core_LKurtosis,Periph_LKurtosis,Core_Variance,Periph_Variance,Variance_Ratio
"Top-2 (15, 20)",2,59.8,61,69,6.3876001996589356,62.60765101829513,0.2119300228559667,0.721441870532007,1.546264705153464,2.1806206782229802,0.7090938468094954
"Baseline Top-3 (10, 15, 20)",3,74.2,77,53,25.4703231533863,12.296950780312125,0.32645706194795526,0.7176470588235432,2.940799559969807,0.07111756168359942,41.35124279222851
"Top-4 (4, 10, 15, 20)",4,78.7,87,43,27.788708480048438,13.755243902439023,0.3256208483160819,0.7621951219511836,2.689758717975295,0.0664451827242525,40.48086870552819
