year_type_1yr,n_years,mean_total,sd_total,mean_active,sd_active,mean_hhi,sd_hhi,mean_core_prop,sd_core_prop,mean_periph_prop,sd_periph_prop,mean_entropy,sd_entropy
crisis,4,14.5,8.888194417315589,5,2.160246899469287,0.41356826192563373,0.11939415210706017,0.733440170940171,0.22013991941180364,0.26655982905982906,0.22013991941180364,1.145789934483528,0.3618913783472958
milestone,4,7,4.96655480858378,3.75,2.753785273643051,0.5319713821316385,0.3592637113080771,0.8675213675213675,0.15690222009133178,0.13247863247863248,0.15690222009133178,0.930513727049685,0.7940207999330812
normal,38,4.157894736842105,2.918036324074839,2.5526315789473686,1.3695011603372256,0.5752418550064654,0.27814417671821257,0.7287707906128958,0.30119189614973246,0.27122920938710415,0.30119189614973246,0.720864839038007,0.5182775620916475
