Event,Type,Window,Rationale
Asian Financial Crisis,Crisis,1997-98,Regional economic collapse; triggered institutional reform
Indian Ocean Tsunami,Crisis,2004-05,Transboundary disaster; AADMER adopted 2005
Global Financial Crisis / Cyclone Nargis,Crisis,2008-09,Global economic shock; humanitarian crisis in Myanmar
COVID-19,Crisis,2020,Pandemic; truncated (data ends 2020)
Treaty of Amity / First Summit,Milestone,1976-77,First Summit; TAC and Declaration of ASEAN Concord
ASEAN Free Trade Area Agreement,Milestone,1992-93,Free trade area established
ASEAN Charter,Milestone,2007-08,Constitutional document; entered force Dec 2008
ASEAN Community,Milestone,2015-16,Formal community inauguration
